VITRY-SUR-SEINE;94400;94081
NESLES-LA-VALLEE;95690;95446
IVERNY;77165;77233
ATHIS-MONS;91200;91027
SAINT-MAMMES;77670;77419
SAINT-GERMAIN-LES-CORBEIL;91250;91553
REAU;77550;77384
BREAU;77720;77052
FEROLLES-ATTILLY;77150;77180
RAMPILLON;77370;77383
LA HOUSSAYE-EN-BRIE;77610;77229
EGLY;91520;91207
NANTEAU-SUR-LUNAIN;77710;77329
BOINVILLE-LE-GAILLARD;78660;78071
LES BREVIAIRES;78610;78108
VINCY-MANOEUVRE;77139;77526
GIRONVILLE;77890;77207
FRENEUSE;78840;78255
COUBRON;93470;93015
SAINT-THIBAULT-DES-VIGNES;77400;77438
VILLERS-EN-ARTHIES;95510;95676
LABBEVILLE;95690;95328
ORGERUS;78910;78465
GAMBAIS;78950;78263
MONTOLIVET;77320;77314
CLICHY-SOUS-BOIS;93390;93014
MAREIL-EN-FRANCE;95850;95365
LE COUDRAY-MONTCEAUX;91830;91179
GUERVILLE;78930;78291
ORLY-SUR-MORIN;77750;77345
LES ESSARTS-LE-ROI;78690;78220
GAMBAISEUIL;78490;78264
SAVIGNY-LE-TEMPLE;77176;77445
ROLLEBOISE;78270;78528
BURES-SUR-YVETTE;91440;91122
CHAILLY-EN-BRIE;77120;77070
POIGNY-LA-FORET;78125;78497
QUINCY-SOUS-SENART;91480;91514
ISLES-LES-MELDEUSES;77440;77231
GALLUIS;78490;78262
SOLERS;77111;77457
ENNERY;95300;95211
AUVERNAUX;91830;91037
PUISIEUX;77139;77380
BOBIGNY;93000;93008
VARREDDES;77910;77483
MAINCY;77950;77269
FORGES-LES-BAINS;91470;91249
MOIGNY-SUR-ECOLE;91490;91408
LE PERCHAY;95450;95483
BOUAFLE;78410;78090
AUTEUIL;78770;78034
RUPEREUX;77560;77396
BOISSY-LE-CUTTE;91590;91080
URY;77760;77477
MOUROUX;77120;77320
JOUARS-PONTCHARTRAIN;78760;78321
FLEURY-MEROGIS;91700;91235
COMBS-LA-VILLE;77380;77122
BELLOT;77510;77030
MENOUVILLE;95810;95387
PIERRE-LEVEE;77580;77361
SAINT-PIERRE-LES-NEMOURS;77140;77431
ORMESSON-SUR-MARNE;94490;94055
BEYNES;78650;78062
LE PERRAY-EN-YVELINES;78610;78486
COURDIMANCHE-SUR-ESSONNE;91720;91184
NOISIEL;77186;77337
AVERNES;95450;95040
ANDREZEL;77390;77004
SERAINCOURT;95450;95592
VILLEPINTE;93420;93078
CHEVRY-COSSIGNY;77173;77114
SAINT-SAUVEUR-SUR-ECOLE;77930;77435
ABLIS;78660;78003
BEZALLES;77970;77033
CHOISY-EN-BRIE;77320;77116
CONCHES-SUR-GONDOIRE;77600;77124
BEZONS;95870;95063
BOIS-HERPIN;91150;91075
PARIS-5E-ARRONDISSEMENT;75005;75105
VILLERON;95380;95675
BRUEIL-EN-VEXIN;78440;78113
CRESPIERES;78121;78189
LA VILLENEUVE-EN-CHEVRIE;78270;78668
BOISSY-SOUS-SAINT-YON;91790;91085
SAINT-MARTIN-EN-BIERE;77630;77425
CHEVREUSE;78460;78160
SAINT-SULPICE-DE-FAVIERES;91910;91578
MORAINVILLIERS;78630;78431
EMERAINVILLE;77184;77169
ECOUEN;95440;95205
CANNES-ECLUSE;77130;77061
SAINT-CYR-L'ECOLE;78210;78545
PLESSIS-SAINT-BENOIST;91410;91495
LA GARENNE-COLOMBES;92250;92035
LA CHAPELLE-GAUTHIER;77720;77086
ACHERES-LA-FORET;77760;77001
CHAVILLE;92370;92022
PONTCARRE;77135;77374
VALLANGOUJARD;95810;95627
VIGNY;95450;95658
LA CELLE-SUR-MORIN;77515;77063
